_id,商店名称,价格,商品链接,购买人数,商品,城市
5d391cb9c987ddf6abd30f2d,后舍男生运动旗舰店,59.00,https:////detail.tmall.com/item.htm?id=526908623802&ns=1&abbucket=6,403人付款,篮球服女套装 女学生篮球衣定制篮球队服训练服背心女子蓝球服,广东 深圳
5d391cb9c987ddf6abd30f2e,let立腾旗舰店,98.00,https:////detail.tmall.com/item.htm?id=588568909203&ns=1&abbucket=6,659人付款,双面篮球服套装男定制大学生篮球训练服比赛队服印字两面穿篮球衣,湖南 株洲
5d391cb9c987ddf6abd30f2f,彪冠旗舰店,39.00,https:////detail.tmall.com/item.htm?id=554283943081&ns=1&abbucket=6,3196人付款,篮球服套装男夏季大学生短袖球衣球服篮球男套装定制印字队服背心,广东 广州
5d391cb9c987ddf6abd30f30,橙火旗舰店,59.00,https:////detail.tmall.com/item.htm?id=528499861389&ns=1&abbucket=6,3328人付款,中大童儿童篮球服套装男孩中小学生队服男童女童夏季训练球衣定制,广东 广州
5d391cb9c987ddf6abd30f31,运动羊旗舰店,98.00,https:////detail.tmall.com/item.htm?id=588780313758&ns=1&abbucket=6,374人付款,篮球服套装男定制 学生比赛训练队服儿童球服球衣篮球男套装背心,广东 广州
5d391cbac987ddf6abd30f32,准者运动旗舰店,89.00,https:////detail.tmall.com/item.htm?id=541209292187&ns=1&abbucket=6,827人付款,准者篮球服 套装男士定制队服比赛训练球衣透气大学生运动diy印制,福建 厦门
5d391cbac987ddf6abd30f33,取步旗舰店,58.00,https:////detail.tmall.com/item.htm?id=565726025685&ns=1&abbucket=6,1049人付款,儿童篮球服套装小学生训练服女童男童幼儿园表演紧身衣四件套球衣,广东 广州
5d391cbac987ddf6abd30f34,格丽世家旗舰店,38.00,https:////detail.tmall.com/item.htm?id=571582163543&ns=1&abbucket=6,4566人付款,篮球服套装男定制蓝球服青少年夏季球服男生透气背心篮球衣服印字,广东 广州
5d391cbac987ddf6abd30f35,篮人运动专营店,118.00,https:////detail.tmall.com/item.htm?id=597675682628&ns=1&abbucket=6,369人付款,双面篮球服套装男定制免费透气正反两面穿球衣个性比赛服队服印字,福建 泉州
5d391cbbc987ddf6abd30f36,桥哥qiao,55.00,https:////item.taobao.com/item.htm?id=591501646238&ns=1&abbucket=6#detail,2263人付款,2019新款篮球服套装男定制CUBA篮球比赛队背心训练服全明星球衣潮,广东 广州
5d391cbbc987ddf6abd30f37,鹿仕尼旗舰店,32.00,https:////detail.tmall.com/item.htm?id=577989406189&ns=1&abbucket=6,5000+人付款,球衣篮球服男 女套装学生篮球衣儿童球服背心比赛训练服队服定制,广东 广州
5d391cbbc987ddf6abd30f38,动起来运动户外专营店,58.00,https:////detail.tmall.com/item.htm?id=527607119815&ns=1&abbucket=6,1912人付款,球衣篮球服定制套装男大学生球衣比赛篮球队服运动服训练背心夏季,广东 广州
5d391cbbc987ddf6abd30f39,苇玖诚运动专营店,129.00,https:////detail.tmall.com/item.htm?id=585134684793&ns=1&abbucket=6,341人付款,李宁3+1篮球比赛裤男2019新款短裤子宽松速干春季透气五分运动裤,河南 洛阳
5d391cbbc987ddf6abd30f3a,快跑运动专营店,30.00,https:////detail.tmall.com/item.htm?id=40470139039&ns=1&abbucket=6,6000+人付款,篮球服套装球衣篮球男篮球服定制跑步运动服无袖短裤速干吸汗夏季,广东 广州
5d391cbcc987ddf6abd30f3b,亿尔恩志运动旗舰店,118.00,https:////detail.tmall.com/item.htm?id=584829584797&ns=1&abbucket=6,405人付款,亿尔恩志 篮球服套装男球衣篮球男定制队服速干 2019新款魔王系列,湖南 株洲
5d391cbcc987ddf6abd30f3c,李宁官方网络旗舰店,239.00,https:////detail.tmall.com/item.htm?id=597861723434&ns=1&abbucket=6,209人付款,李宁篮球比赛裤男士2019新款BADFIVE篮球系列速干男装针织运动裤,上海
5d391cbcc987ddf6abd30f3d,风派路旗舰店,59.00,https:////detail.tmall.com/item.htm?id=589986682027&ns=1&abbucket=6,1.5万+人付款,篮球服套装男定制大学生夏季比赛训练运动背心儿童篮球球衣队服女,广东 广州
5d391cbcc987ddf6abd30f3e,杉沙奕彤旗舰店,79.00,https:////detail.tmall.com/item.htm?id=596532992672&ns=1&abbucket=6,528人付款,公牛队23号篮球服球衣女宽松外穿篮球背心bf风定制运动衣篮球服男,广东 广州
5d391cbcc987ddf6abd30f3f,安踏体育篮球旗舰店,99.00,https:////detail.tmall.com/item.htm?id=596624434488&ns=1&abbucket=6,289人付款,安踏篮球运动套装男士要疯比赛套官网2019夏运动服短袖短裤两件套,福建 泉州
5d391cbdc987ddf6abd30f40,雪里格斯服饰旗舰店,98.00,https:////detail.tmall.com/item.htm?id=597968326545&ns=1&abbucket=6,74人付款,篮球服定制 套装男全身DIY大学生球衣篮球背心比赛训练服队服印字,广东 广州
5d391cbdc987ddf6abd30f41,艾斯洛奇运动专营店,55.00,https:////detail.tmall.com/item.htm?id=592301706311&ns=1&abbucket=6,626人付款,篮球服套装男定制学生比赛队服训练服潮流印字蓝球衣球服女篮球服,福建 福州
5d391cbdc987ddf6abd30f42,尼尔凡迪旗舰店,65.00,https:////detail.tmall.com/item.htm?id=595922429141&ns=1&abbucket=6,973人付款,双面篮球服套装男定制背心训练服女儿童队服大学生个性球衣蓝球服,广东 广州
